240,270,2,0.4376216
240,0,0,0.5185041
240,180,0,0.5183201
240,45,2,0.4768219
240,224,2,0.4910393
240,135,2,0.5487785
240,315,0,0.4207802
240,90,2,0.5277214
320,90,2,0.5153847
320,224,1,0.5254059
320,315,0,0.5718346
320,0,2,0.899559
320,135,2,0.5159378
320,270,2,0.5556107
320,180,3,0.6127701
320,45,0,0.457428
80,45,3,0.3219757
80,270,0,0.3475342
80,315,3,0.326973
80,0,2,0.3181686
80,135,2,0.430069
80,180,3,0.3899536
80,90,2,0.457962
80,224,2,0.4165649
160,224,0,0.3600922
160,90,3,0.4482727
160,180,1,0.4470673
160,135,1,0.4419861
160,315,3,0.5435791
160,270,0,0.3912659
160,45,3,0.524704
160,0,0,0.4006805
