320,0,3,0.3862268
320,90,0,0.5426126
320,315,2,0.4290438
320,180,3,0.6661053
320,224,0,0.5629234
320,45,1,0.5162067
320,135,2,0.5406151
320,270,0,0.4837914
160,270,2,0.3940315
160,0,2,0.351902
160,90,0,0.4003639
160,315,3,0.4177933
160,135,0,0.4675369
160,45,1,0.4668427
160,224,0,0.3601761
160,180,0,0.4558716
240,180,1,0.4138794
240,90,1,0.4483109
240,45,0,0.3914413
240,315,0,0.3520737
240,270,2,0.4511642
240,135,1,0.4394379
240,0,1,0.7990417
240,224,2,0.423996
80,224,3,0.3623962
80,315,0,0.3632202
80,135,2,0.4359131
80,0,1,0.3375549
80,270,0,0.3480988
80,180,1,0.4137878
80,45,2,0.51828
80,90,1,0.3921509
